key,answer,alt,audio_prompt
puro, pure,,adjetivos/113.mp3
quieta, still/quiet,,adjetivos/114.mp3
regular, regular/normal/usual,,adjetivos/115.mp3
revolucionario, revolutionary,,adjetivos/116.mp3
sencillo, simple,,adjetivos/117.mp3
seguro, sure/safe,,adjetivos/118.mp3
seguido, continuous, “en seguida” right away,adjetivos/119.mp3
siguientes, following/next,,adjetivos/120.mp3
solo, alone,,adjetivos/121.mp3
sorprendido, surprised,,adjetivos/122.mp3
sucio, dirty,,adjetivos/123.mp3
suficiente, enough,,adjetivos/124.mp3
tanto, so much / so many,,adjetivos/125.mp3
todo, all/everything, total,adjetivos/126.mp3
tranquilo, quiet,,adjetivos/127.mp3
triste, sad,,adjetivos/128.mp3
última, last,,adjetivos/129.mp3
único, unique/only,,adjetivos/130.mp3
útil, useful,,adjetivos/131.mp3
vario/varia, various,,adjetivos/132.mp3
verdadero, real,,adjetivos/133.mp3
vestido, dressed,,adjetivos/134.mp3
viejo, old,,adjetivos/135.mp3
vivo, living/alive,,adjetivos/136.mp3
