key,alt,answer
個人,"gèrén (個人, 个人)","individual person, man_jack, personal, individual person , man jack, individual, individuality, identity"
新竹,"xīnzhú (新竹, 新竹)",Hsin Chu city in Taiwan
李,"lǐ (李, 李)","plum, Lee, Surname, Li"
生,"shēng (生, 生)","give birth to, bear, grow, get, have, cause to happen, make a fire , exist, live"
圖書館,"túshūguǎn (圖書館, 图书馆)",library
她們,"tāmen (她們, 她们)",they female
美元,"měiyuán (美元, 美元)",m.[standard]
讀,"dú (讀, 读)","study, read, attend school, take, read aloud, read aloud , peruse"
以來,"yǐlái (以來, 以来)",since
或許,"huòxǔ (或許, 或许)","possibly, in all probability, peradventure, conceivably, mayhap, likely, perhaps, perchance, probably, maybe, haply, in all likelihood, belike"
課,"kè (課, 课)","subject, course, class"
病人,"bìngrén (病人, 病人)","shut in, patient, subject, sufferer, case, valetudinarian, invalid"
實驗,"shíyàn (實驗, 实验)","experiment, test"
有時候,"yǒushíhòu (有時候, 有时候)","from time to time, on_occasion, occasionally, somewhile, otherwhile, now and again, sometimes, now and then, at times, on occasion, whiles, once in a while"
辦理,"bànlǐ (辦理, 办理)","handle, manage, attend, conduct, enact, transact, transaction"
部門,"bùmén (部門, 部门)","category, section, department, service, instrumentality, branch, realm, sector, ministry, province, divisional, classification, departmental, division"
類似,"lèisì (類似, 类似)","analogize, conform, analogic, be similar to, resemble, similar, analogous"
廣告,"guǎnggào (廣告, 广告)",advertisement
送,"sòng (送, 送)","accompaniment, escort, see sb. off, see sb. off/out, to dispatch, see ... off, accompany, to deliver, send, direct, serve, guide, give as a present, deliver, see sb. out, see, lead, see ... out, conduct, give, to send, carry, delivery, carriage, take, hospitalize"
夠,"gòu (夠, 够)",be enough/sufficient/adequate
新加坡,"xīnjiāpō (新加坡, 新加坡)",Singapore
擔心,"dānxīn (擔心, 担心)","worry, feel anxious"
商業,"shāngyè (商業, 商业)","business enterprise, commercial, people, mercantilism, commercial pursuit, commercial enterprise, business sector, merchantry, trade, mercantile pursuit, business, commerce"
掌握,"zhǎngwò (掌握, 掌握)","take ... into one's hands, know well, master, have in hand, grasp, command, possess, control"
兩岸,"liǎngàn (兩岸, 两岸)","both sides of a river, both sides of the Taiwan Straits I.e.,  Chinese Mainland and Taiwan"
門,"mén (門, 门)","door, gate"
方案,"fāngàn (方案, 方案)","formula, plan, scheme, projection, programme, proposal, schema, strategy, project, design, program"
至少,"zhìshǎo (至少, 至少)","leastwise, leastways, at the least, at_least, only, fully, even a little, at least, at any rate, in the least, at least, at the least"
看法,"kànfǎ (看法, 看法)","side, view, mentality, idea, outlook, a way of looking at a thing, opinion, thought, sight, standpoint, hypothesis, attitude, hobbyhorse, viewpoint, possibility, theory, slant, pronouncement, way of looking at sth., thinking, supposition, supposal"
原本,"yuánběn (原本, 原本)","originally, formerly"
措施,"cuòshī (措施, 措施)","measure, demarche, corrective, move, step"
表現,"biǎoxiàn (表現, 表现)","show, display, show off"
社團,"shètuán (社團, 社团)","gild, college, lodge, association, organization, club, body of persons, society, mass organization, order, league, guild, confraternity, corporation"
九,"jiǔ (九, 九)",det.: nine
展開,"zhǎnkāi (展開, 展开)","spread out, unfold, open up, launch, develop"
博士,"bóshì (博士, 博士)","Ph.D, master of any trade/craft, master of any craft, Dr., holder of doctoral degree, master of any trade, Erudite, doctoral, Doctor_of_Philosophy, Ph.D., court academician, craft, ""Erudite"", Doctor of Philosophy, doctor"
道路,"dàolù (道路, 道路)","track, path, runway, steps, route, course, toby, road, thoroughfare, way"
竟,"jìng (竟, 竟)",unexpectedly
項目,"xiàngmù (項目, 项目)","event, head, item, particular, article, point, specific, entry, listing, clause, project"
需,"xū (需, 需)",need
學院,"xuéyuàn (學院, 学院)","seminary, college, school, hall, institute, academy, faculty"
代表,"dàibiǎo (代表, 代表)","represent, indicate"
同意,"tóngyì (同意, 同意)","agree, consent, approve"
原住民,"yuánzhùmín (原住民, 原住民)",aborigine
策略,"cèluè (策略, 策略)","coup, resource, enginery, wile, stratagem, gambit, practice, plant, diplomacy, artifice, trap, twist, tactical manoeuver, policy, game, mechanism, game plan, ambush, chicanery, finesse, lying in wait, maneuvering, joker, tactics, gimmick, manoeuvering, plan, device, art, tactical maneuver, maneuver, measure, play, tactic, manoeuvre, mechanics, tack, ambuscade, trickery, strategy, setup, r"
白,"bái (白, 白)","white, clear, pure, plain, wrongly written/mispronounced, "
平均,"píngjūn (平均, 平均)",average
所,"suǒ (所, 所)","place, office, bureau, institute"
靠,"kào (靠, 靠)",depend/rely on
互相,"hùxiāng (互相, 互相)","mutual, each other, mutually, one another, reciprocally"
地位,"dìwèi (地位, 地位)","station, estate, importance, appointment, character, footing, capacity, chair, estate of the realm, level, situation, status, standing, position, spot, connection, space, sphere, quality, place, condition"
體育,"tǐyū (體育, 体育)","training, physical education, athletics, sports, gymnastic, physical_education, physical training, physical culture, physical education/training, gym"
樣,"yàng (樣, 样)",m.[kind]
亞洲,"yǎzhōu (亞洲, 亚洲)","Orient, Asian, Asia"
採取,"cǎiqǔ (採取, 采取)","operate, assume, adopt, accept, strike, take, take up, take over, borrow"
日,"rì (日, 日)",m.[standard]
畢業,"bìyè (畢業, 毕业)","graduate, finish school"
相同,"xiāngtóng (相同, 相同)","be identical/alike, uniform, be identical, overlap, alike, identical, be alike"
欣賞,"xīnshǎng (欣賞, 欣赏)","appreciate, enjoy, admire"
法律,"fǎlù (法律, 法律)","constitution, juridical, legal, jus, judiciary, statute law, law, codex, legislation, jurisprudence, lex, code, Themis, statute, judicial, practice of law, prescript, forensic, natural law"
詞,"cí (詞, 词)","vocable, words, phrase, a kind of poetry originating in Tang dyn, statement, a form of classical poetry, part of speech, speech, Ci,  Chinese poetry, term, word"
大型,"dàxíng (大型, 大型)",large size machines/factories/etc.
中華,"zhōnghuá (中華, 中华)","the Chinese nation, China"
台大,"táidà (台大, 台大)","National Taiwan University, National Taiwan University Hospital"
意思,"yìsī (意思, 意思)","significance, token of infection, intention, interest, idea, trace, meaning, thought, opinion, substance, etc., import, a token of appreciation/etc., indirect request, wish, a token of affection, desire, appreciation, fun, signification, gratitude, sense, hint, a token of affection/appreciation/etc., suggestion, mind, intent"
在一起,"zàiyīqǐ (在一起, 在一起)",be togather
係,"xì (係, 系)",be
持續,"chíxù (持續, 持续)","perennate, hang on, carry_over, persist, steady, keep, carry over, keep on, proceed, stretch, carry_on, retain, sustain, persevere, continuity, endure, stay, continue, hang in, hold, maintain, run, span, go on, run for, last, go along, exist, hold on"
群,"qún (群, 群)",m.[general]
慢慢,"mànmàn (慢慢, 慢慢)",slowly; gradually
高雄,"gāoxióng (高雄, 高雄)","Kaohsiung,  a city in Taiwan, Gaoxiong, Kaohsiung a city in Taiwan"
製造,"zhìzào (製造, 制造)","make, manufacture, engineer, create, fabricate"
醫療,"yīliáo (醫療, 医疗)","treat, cure"
邀請,"yāoqǐng (邀請, 邀请)",invite
滿足,"mǎnzú (滿足, 满足)","fulfil, fit, cope with, fill, be satisfied/contented, gloat, contented, arrive, be satisfied, satisfy, sate, gratify, serve, meet, appease, replete, supply, satisfied, fulfill, suffice, assuage, satiate, content, be contented, conform to, suit, match"
速度,"sùdù (速度, 速度)","pacing, wings, rate, quickness, fastness, velocity, swiftness, lick, pace, rapidity, speed, career, tempo"
重點,"zhòngdiǎn (重點, 重点)","taproot, accent, emphasis, focal point, point, keystone, hinge, salient point, stress, gravity"
保存,"bǎocún (保存, 保存)","preserve, conserve, keep"
評估,"pínggū (評估, 评估)","estimate, evaluate"
限制,"xiànzhì (限制, 限制)",restrictiveness
符合,"fúhé (符合, 符合)","fulfil, conform, fit, tally with, fill, come_up_to, cohere, satisfy, accord, coincide, assort, equate, answer, tally, consist, meet, be in keeping with, chime_in, fulfill, look, accord/tally with, relate, chime, live up to, square, accord with, conform to, correspond"
利益,"lìyì (利益, 利益)","privilege, profit, vantage, favor, interest, behoof, account, goodness, gain, increment, avail, boon, plus, commodity, lucre, advantage, stead, boot, benefit, welfare, good, asset, behalf, percentage, stake, favour"
組成,"zǔchéng (組成, 组成)","form, make up into , compose"
檢查,"jiǎnchá (檢查, 检查)","check, inspect, examine"
看見,"kànjiàn (看見, 看见)","seeing, behold, see, descry, show, perceive, lay eyes on, lamp, spy, show up, sight, catch sight of,  catch sight of"
瞭解,"liǎojiě (瞭解, 瞭解)","understand, comprehend, find out, acquaint oneself with"
立刻,"lìkè (立刻, 立刻)","in a short time, at_once, promptly, offhand, at once, anon, instantly, straightway, now, slapbang, pronto, right_away, immediately, without delay, right away, forthwith, presto, at a time, before long, in a minute, swith, directly, in no time, incontinent, subito, without_delay, in real time, shortly, tout de suite, away, soon, presently, in a few seconds, very fast, chop"
女兒,"nǔér (女兒, 女儿)","daughter, girl"
數,"shù (數, 数)",det.: several
上課,"shàngkè (上課, 上课)","attend class, go to class;give lesson/lecture"
整合,"zhěnghé (整合, 整合)",integrate
更多,"gèngduō (更多, 更多)",det.: more
唯一,"wéiyī (唯一, 唯一)","sole, one and only, only, unique"
人數,"rénshù (人數, 人数)",number of people
的確,"díquè (的確, 的确)","certainly, surely"
主題,"zhǔtí (主題, 主题)","motif, lemma, musical theme, theme, thesis, idea, literary argument, argument, motive, leitmotiv, matter, subject_matter, keynote, issue, subject, topic, mythos, melodic theme"
用戶,"yònghù (用戶, 用户)","customer, subscriber, enjoyer, user, consumer"
快速,"kuàisù (快速, 快速)","expeditious, high speed, fast, rapid, clip"
設施,"shèshī (設施, 设施)","installation, facilities"
文學,"wénxué (文學, 文学)","literary, philology, letters, letter, literature"
步,"bù (步, 步)",m.[activity]
那裡,"nàlǐ (那裡, 那里)",that place
到,"dào (到, 到)",conj.: to
美,"měi (美, 美)","beautiful, pretty"
需要,"xūyào (需要, 需要)","need, demand"
失去,"shīqù (失去, 失去)","desert, shear, outgrow, loss, lost, miss, lose"
做為,"zuòwéi (做為, 做为)","excuse, to be as, to look upon as, purport, roof, to take for, to regard as, look on as, regard as, take for"
複雜,"fùzá (複雜, 复杂)","complicated, complex"
屆,"jiè (屆, 届)",m.[event]
作用,"zuòyòng (作用, 作用)","action, function, effect, intention, motive"
調整,"tiáozhěng (調整, 调整)","adjust, readjust, regulate, restructure, balance"
佔,"zhàn (佔, 佔)","constitute, make up, account for"
要求,"yāoqiú (要求, 要求)","demand, request"
高中,"gāozhōng (高中, 高中)","senior middle school, senior high school, senior_high_school"
動作,"dòngzuò (動作, 动作)","demeanor, motion, behavior, performance, demeanour, play, turn, operation, operative, looseness, agency, gesticulation, movement, gesture, comportment, business, action, move"
模式,"móshì (模式, 模式)","example, normal, rule, formula, pattern, form, shape, style, way, mode, convention, fashion, model"
多,"duó (多, 多)","to what degree, how..."
吸引,"xīyǐn (吸引, 吸引)","engross, arrest, appeal, fascinate, attraction, fetch, draw, transfix, pull in, entrance, pull, enamour, spellbind, enamor, capture, trance, captivate, call, grip, fascination, absorb, bewitch, tempt, becharm, speak_to, fix, engage, catch, rivet, enchant, beguile, charm, seduce, take, enwrap, magnetize, draw in, attract"
記得,"jìde (記得, 记得)","come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind"
賣,"mài (賣, 卖)","bring, parade, prostitute, make living at, go, sell out, show off, negotiate, exert to the utmost, tout, not spare, deal, betray, make living by, at, sell, make living by/at, betrayal, trade, fetch, market, bring in"
例,"lì (例, 例)","example, instance, precedent, case, rule, regulation"
推廣,"tuīguǎng (推廣, 推广)","popularize, spread, extend"
本來,"běnlái (本來, 本来)","originally, at first, of course"
具體,"jùtǐ (具體, 具体)","concrete, specific, particular"
太太,"tàitài (太太, 太太)","lady, memsahib, Dona, dona, Mrs, mum, Senora, senora, Mrs., mistress of a household, madam, Frau, goodwife, missus, senhora, married woman, wife, vrouw, Madame, madame, missis, wahine, Signora, signora"
之中,"zhīzhōng (之中, 之中)","inside,  among,  within"
宗教,"zōngjiào (宗教, 宗教)","theology, community, religious, cult, creed, faith, religion"
舊,"jiù (舊, 旧)","old, aged, onetime, bygone, used, worn, past, former"
反應,"fǎnyìng (反應, 反应)","reaction, response, repercussion"
觀眾,"guānzhòng (觀眾, 观众)","onlooker, TV audience, attendance, audience, spectator, viewers, followers, crowd, gallery, viewer, following, house, viewing audience"
立場,"lìchǎng (立場, 立场)","view, stance, language, stand, ground, capacity, standing, situation, position, perspective, standpoint, stand point"
旅遊,"lǔyóu (旅遊, 旅遊)",travel
因而,"yīnér (因而, 因而)",conj.: consequently
理念,"lǐniàn (理念, 理念)","sense, conception, idea"
它們,"tāmen (它們, 它们)","they, they non human"
上面,"shàngmiàn (上面, 上面)","surface of, aspect, higher authority, upper side, the higher authorities, on top/surface of, on surface of, top, the higher ups, top side, upside, on top of, respect, above, on top, regard"
回,"huí (回, 回)","return, go back"
支,"zhī (支, 支)",m.[general]
少年,"shàonián (少年, 少年)","nipper, covey, early youth 10 16"
輔導,"fǔdǎo (輔導, 辅导)","coach, tutor"
爭取,"zhēngqǔ (爭取, 争取)","strive for, fight for, wrangle, work hard for, contest, go for, strive/fight for, contend, try_for, woo, try for, strive, win over, scramble, do all one can to"
想到,"xiǎngdào (想到, 想到)","imagine, ideate, think, envisage, anticipate, bethink, dream, recollect, think_of, call to mind, think of, occur, conceive of"
可能,"kěnéng (可能, 可能)","possible,  probable"
尊重,"zūnzhòng (尊重, 尊重)","respect, value, esteem"
替,"tì (替, 替)","for, on behalf of"
地點,"dìdiǎn (地點, 地点)","location, site, locale, locality, topographic point, point, venue, spot, situs, land site, place, locus"
何,"hé (何, 何)","det.: which, what"
黨,"dǎng (黨, 党)","section, Dang, political party, CCP, KMT, Ku_Klux_Klan, clique, The Party, party, tong, kinsfolk, the Party, faction, gang"
進步,"jìnbù (進步, 进步)","progress, advance, improve"
欲,"yū (欲, 欲)","choose, wish, care, want, desire, incline, propose"
危機,"wéijī (危機, 危机)","ambush, clutch, climacteric, crisis, precipice, hump, conjuncture, juncture, sharpness, gravity, edge"
正常,"zhèngcháng (正常, 正常)","normal, regular"
角度,"jiǎodù (角度, 角度)","aspect, perspective, degree, arcdegree, point of view, angle"
尚未,"shàngwèi (尚未, 尚未)","as yet, til now, heretofore, yet, thus far, so far, until now, up to now, hitherto, not_yet, not yet"
院長,"yuànzhǎng (院長, 院长)","director/president of museum/institute/etc. ,  head of branch of government"
習慣,"xíguàn (習慣, 习惯)","habit, custom"
期,"qí (期, 期)",m.[event]
環保,"huánbǎo (環保, 环保)",environmental protection
交流,"jiāoliú (交流, 交流)","exchange, interflow, interchange"
困難,"kùnnán (困難, 困难)",difficult
完整,"wánzhěng (完整, 完整)","complete, integrated, intact"
費用,"fèiyòng (費用, 费用)","tax, cost, expense, expenditure, due, rate, exes, outlay, outgo, fee, terms, toll, price, disbursement, fare, expenses, disbursal, retainer, pay, damage, charge, monetary value, consideration, outgoing"
上述,"shàngshù (上述, 上述)",above mentioned
呈現,"chéngxiàn (呈現, 呈现)","assume, crop out, dish, appearance, show, lay out, present, basset, appear, take_on, emergence, emerge, come forth"
照顧,"zhàogù (照顧, 照顾)","look after, care for, attend to, patronize as customer"
達成,"dáchéng (達成, 达成)",reach an agreement
批,"pī (批, 批)",m.[general]
培養,"péiyǎng (培養, 培养)","foster, train, develop, culture"
垃圾,"lèsè (垃圾, 垃圾)","leavings, crap, sordes, trumpery, culch, garbage, filth, debris, cultch, sweeping, trashery, raffle, slush, truck, detritus, rubbish, trash, dirt, muck, litter, offscouring, offal, rubble, recrement, dust, rejectamenta, refuse, junk, gook"
圖,"tú (圖, 图)","picture, drawing, chart, map"
擴大,"kuòdà (擴大, 扩大)","enlarge, expand, extend, swell, dilate"
篇,"piān (篇, 篇)",m.[general]
比例,"bǐlì (比例, 比例)","proportional, rate, proportionality, quotient, proportion, proportionment, scale, ratio, balance"
風格,"fēnggé (風格, 风格)","plan, signature, idiom, kind, aroma, manner, idiosyncrasy, negligence, style, mode, tone, expressive style, artistic style, touch"
難以,"nányǐ (難以, 难以)",be difficult to
機關,"jīguān (機關, 机关)","mechanism, stratagem, scheme, intrigue"
情緒,"qíngxù (情緒, 情绪)","form, pulse, humor, depression, temper, feeling, spirits, monkey, emotion, sentiment, humour, soulfulness, mood, heartbeat, heartstrings, sulks, chord, vein, feelings, emotional state, spirit, frame_of_mind, sentiments, moodiness, emotions, steam, tune, soul"
勞工,"láogōng (勞工, 劳工)","work_force, navvy, galley slave, manual laborer, labor, mazdoor, peon, proletariat, working class, laborer, worker, workman, industrialist, labour, drudge, workingman, labourer"
一旦,"yīdàn (一旦, 一旦)","conj.: once,  some time or other"
多媒體,"duōméitǐ (多媒體, 多媒体)",multi media
求,"qiú (求, 求)","seek, try, strive for"
絕對,"juéduì (絕對, 绝对)","absolutely, definitely"
資料庫,"zīliàokù (資料庫, 资料库)","data bank, database, data base, databank"
選舉,"xuǎnjǔ (選舉, 选举)",election
不可能,"bùkěnéng (不可能, 不可能)",impossibly
馬上,"mǎshàng (馬上, 马上)","in a short time, at_once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right_away, immediately, shortly, without delay, right away, tout de suite, forthwith, presently, in_no_time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f"
說話,"shuōhuà (說話, 说话)","philosophize, thrum, talk, peach, babble out, speech, articulate, chat, speak, babble, gossip, blab out, sing, address, tattle, blab, mouth, say"
享受,"xiǎngshòu (享受, 享受)",enjoy
工廠,"gōngchǎng (工廠, 工厂)","layout, mill, factory, remuneration, workshop, industrial plant, plant, hacienda, manufactory, works, shop"
食物,"shíwù (食物, 食物)","scran, board, ingesta, sustentation, provender, viand, chow, aliment, pabulum, edibles, prog, nurture, cheer, eatable, edible, alimentary, eatables, chowchow, nutrient, diet, bread, trencher, sustenance, nutriment, nosh, nutrition, victuals, cib., vivers, eating, toke, meat, cib, grub, peck, viands, comestible, nourishment, fare, victual, food, commons, fodder, scoff, victualage, muckamuck, ta"
消息,"xiāoxí (消息, 消息)","communication, witting, message, item, news, peep, info, intelligence, notice, information, advertisement, tidings, advert, word"
番,"fān (番, 番)",m.[event]
趨勢,"qūshì (趨勢, 趋势)","stream, gravitation, tendency, wind, tide, drift, sequel, trend, current, direction, inclination, tendence, momentum, flow"
房子,"fángzi (房子, 房子)","building of less than three stories , room, building, property, house"
觀點,"guāndiǎn (觀點, 观点)","view, aspect, stand, point_of_view, light, eyes, framework, sentiment, bet, standpoint, point of view, eye, viewpoint, slant, perspective, position, angle"
購買,"gòumǎi (購買, 购买)","invest, take, buy, make purchases, go shopping, purchase"
普遍,"pǔbiàn (普遍, 普遍)","universal, general, widespread, common"
設立,"shèlì (設立, 设立)","establish, found"
差異,"chāyì (差異, 差异)","gap, departure, spread, variance, divergence, difference, diversity, discrepancy, imparity, disparity, contrast, interval, differentia, distinction"
差,"chā (差, 差)","be short, lack"
另外,"lìngwài (另外, 另外)","in addition, moreover, besides"
統一,"tǒngyī (統一, 统一)","unify, unite, integrate"
青年,"qīngnián (青年, 青年)","young people, adolescent, youngster, springal, boy, youth, youths, stripling, young, hobbledehoy, younker"
行政院,"xíngzhèngyuàn (行政院, 行政院)",Executive Yuan
規模,"guīmó (規模, 规模)","magnitude, dimensions, extent, scale, scope"
股,"gǔ (股, 股)",m.[general]
破壞,"pòhuài (破壞, 破坏)","violate, destroy"
想要,"xiǎngyào (想要, 想要)","please, wish, like, desire, desirable, desiderate, purport, feel_like, wish well, propose, desired, purpose, direct, want to, feel like, aim, want, calculate"
換,"huàn (換, 换)","adjourn, barter, exchange, commute, reseat, trade, conversion, convert, change"
選,"xuǎn (選, 选)","select, pick, elect, choose, take, pick out, van"
人力,"rénlì (人力, 人力)","strength, manpower, resources, manual labor"
水準,"shuǐzhǔn (水準, 水准)","level, plane, standard"
首,"shǒu (首, 首)",m.[general]
河川,"héchuān (河川, 河川)","river and creek, rivers, river"
文字,"wénzì (文字, 文字)","writing, phraseology, writing style, language, endearment, script, written language, text, writing phraseology, writing style/phraseology, character, textual, characters, symbolic representation, version, word sign, literal, letter, word, literalness"
立即,"lìjí (立即, 立即)","at_once, off hand, promptly, at once, down, instantly, directively, straightway, herewith, thereupon, ex tempore, without_delay, pronto, right_away, instant, straight, immediately, in_short_order, right away, instanter, straightaway, in short order, off the"
適當,"shìdàng (適當, 适当)","beseem, proper, suitable, suit"
醫師,"yīshī (醫師, 医师)","medico, MD, Aesculapius, physician, hakim, leech, Dr., powwow, medic, Aesculapian, doc, doctor"
屬,"shǔ (屬, 属)","belong, be born in the year of, belong to, be subordinate to, be"
重,"zhòng (重, 重)","heavy, weighty, important, considerable in amount/value"
就是說,"jiùshìshuō (就是說, 就是说)","that is to say, in other words, namely"
結婚,"jiéhūn (結婚, 结婚)","middle aisle, intermarry, mate, conjoin, get married, couple, married, espouse, pair, marry, unite, get_married, get hitched with, spouse, splice, hook up with, wed"
有,"yǒu (有, 有)","be, exist, also"
日子,"rìzi (日子, 日子)","yom, day, a particular day, livelihood, life, date, days, time"
非,"fēi (非, 非)","run counter to, not conform to"
貿易,"màoyì (貿易, 贸易)","deal, carriage trade, trade, business, commerce"
相當,"xiāngdāng (相當, 相当)","match, balance, correspond to, be equal to"
參觀,"cānguān (參觀, 参观)","visit,  tour"
公開,"gōngkāi (公開, 公开)","bare, air, unclose, publish, come_out, make known to the public, publicize, divulgate, overt, publicise, public, disclosure, make known to public, unfurl, make public"
順利,"shùnlì (順利, 顺利)","smooth, successful, without a hitch"
男,"nán (男, 男)","baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son"
銷售,"xiāoshòu (銷售, 销售)","sell, market"
辦,"bàn (辦, 办)","punish by law , manage, get ... ready, set_up, buy a fair amount of, set up, run, management, handle, tackle, attend to, do, punish, bring ... to justice"
維護,"wéihù (維護, 维护)","safeguard, defend, uphold"
投入,"tóurù (投入, 投入)",throw/put into
稱,"chēng (稱, 称)",call
加上,"jiāshàng (加上, 加上)",add into
民進黨,"mínjìndǎng (民進黨, 民进党)",Democratic Progressive Party
必,"bì (必, 必)","surely, must, certainly, have to, necessarily"
自由,"zìyóu (自由, 自由)","freedom, liberty"
有限,"yǒuxiàn (有限, 有限)","limited, finite"
預算,"yūsuàn (預算, 预算)","estimate, forethought, budget, estimation, budgetary"
計算,"jìsuàn (計算, 计算)","count, calculate, compute"
效率,"xiàolù (效率, 效率)","sufficiency, effectualness, effectuality, productiveness, usefulness, efficiency, effectivity, effectiveness"
樣子,"yàngzi (樣子, 样子)","tendency, pattern, form, manner, likelihood, way, resemblance, semblance, sample, guise, fashion, wise, model, air, mien, appearance, shape, suggestion, gesture, sort"
訪問,"fǎngwèn (訪問, 访问)","visit, call on, interview"
位於,"wèiyū (位於, 位于)","be situated, situated, locate, precede, lie, come, nestle, subsist, underlie, sit, be located, skirt, rank"
接觸,"jiēchù (接觸, 接触)","come into contact with, get in touch with, engage, contact"
流行,"liúxíng (流行, 流行)","prevalent, popular, fashionable, in vogue, spread, rage of contagious disease"
喔,"wō (喔, 喔)",particle: indicating exclamation/suggestion/mild imperative/etc.
股市,"gǔshì (股市, 股市)","stock exchange, securities market, stock market, stock_market"
召開,"zhàokāi (召開, 召开)","convene, convoke"
運作,"yùnzuò (運作, 运作)","operate, work"
出版,"chūbǎn (出版, 出版)","come off the press, publish, come out"
藉,"jiè (藉, 藉)",depend/rely on
觀光,"guānguāng (觀光, 观光)","rubberneck, take in, visit, sightsee, travel to, go sightseeing, tour"
降低,"jiàngdī (降低, 降低)","reduce, cut down, drop, lower"
大約,"dàyuē (大約, 大约)","about,  around,  probably,  likely"
來源,"láiyuán (來源, 来源)","resource, wellspring, origin, provenance, quarter, root, source, beginning, springhead, fodder, fount, quarry, fountain, mint, parentage, whence, paternity"
理由,"lǐyóu (理由, 理由)","excuse, reasoning, reason, wherefore, argument, meaning, account, cause, room, alibi, substance, warranty, matter, justification, occasion, score, warrant, ground, sake, why, grounds, consideration, self justification, skill"
不斷,"búduàn (不斷, 不断)","unceasing, continuous"
一點,"yīdiǎn (一點, 一点)","a little, a bit"
回答,"huídá (回答, 回答)","answer, reply"
青少年,"qīngshàonián (青少年, 青少年)","adolescent, stilyaga, teens, young person, teenager, teenagers, young people and teenagers, youths, youth, stripling, hobbledehoy, youngsters, younker"
基本,"jīběn (基本, 基本)","basic, elementary"
一般,"yībān (一般, 一般)",generally
看看,"kànkàn (看看, 看看)","see, look at, watch, read, look upon, regard, call on, visit"
合理,"hélǐ (合理, 合理)","plausible, rational, reasonable, legitimate, equitable, sensible"
採,"cǎi (採, 采)","pick, gather"
跟,"gēn (跟, 跟)",conj.: and
